dataset,seed,mode,top_k,task_type,candidate_count_before,candidate_count_after,candidate_space_reduction,allowed_pipelines,unique_evaluations,cache_hits,total_evaluation_requests,cache_hit_rate,best_pipeline,best_val_fitness,test_metric_name,test_metric_value,runtime_seconds,baseline_best_pipeline,baseline_best_in_genesis_top_k,paired_test_metric_diff_vs_baseline,paired_runtime_diff_vs_baseline,paired_unique_eval_diff_vs_baseline
01_numerical_classification.csv,42,baseline,10,classification,5,5,0.0,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,49,151,200,0.755,classification_k_neighbors,0.7333,f1,0.7333,5.38,classification_k_neighbors,True,0.0,0.0,0
01_numerical_classification.csv,123,baseline,10,classification,5,5,0.0,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,67,133,200,0.665,classification_svc,0.5,f1,0.2,11.99,classification_svc,True,0.0,0.0,0
01_numerical_classification.csv,456,baseline,10,classification,5,5,0.0,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,76,124,200,0.62,classification_random_forest,0.7333,f1,0.7333,13.62,classification_random_forest,True,0.0,0.0,0
01_numerical_classification.csv,789,baseline,10,classification,5,5,0.0,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,48,152,200,0.76,classification_k_neighbors,0.7333,f1,0.0,6.27,classification_k_neighbors,True,0.0,0.0,0
01_numerical_classification.csv,2024,baseline,10,classification,5,5,0.0,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,40,160,200,0.8,classification_k_neighbors,0.7333,f1,0.3333,2.49,classification_k_neighbors,True,0.0,0.0,0
01_numerical_classification.csv,42,genesis,2,classification,5,2,0.6,classification_logistic_regression|classification_svc,28,172,200,0.86,classification_svc,0.3333,f1,0.7333,0.39,classification_k_neighbors,False,0.0,-4.99,-21
01_numerical_classification.csv,123,genesis,2,classification,5,2,0.6,classification_logistic_regression|classification_svc,25,175,200,0.875,classification_svc,0.5,f1,0.2,0.37,classification_svc,True,0.0,-11.62,-42
01_numerical_classification.csv,456,genesis,2,classification,5,2,0.6,classification_logistic_regression|classification_svc,30,170,200,0.85,classification_logistic_regression,0.2,f1,0.7333,0.34,classification_random_forest,False,0.0,-13.28,-46
01_numerical_classification.csv,789,genesis,2,classification,5,2,0.6,classification_logistic_regression|classification_svc,29,171,200,0.855,classification_logistic_regression,0.5,f1,0.5,0.34,classification_k_neighbors,False,0.5,-5.93,-19
01_numerical_classification.csv,2024,genesis,2,classification,5,2,0.6,classification_logistic_regression|classification_svc,25,175,200,0.875,classification_logistic_regression,0.7333,f1,0.7333,0.31,classification_k_neighbors,False,0.4,-2.18,-15
01_numerical_classification.csv,42,genesis,2,classification,5,3,0.4,classification_logistic_regression|classification_hist_gradient_boosting|classification_svc,67,133,200,0.665,classification_hist_gradient_boosting,0.3333,f1,0.3333,3.84,classification_k_neighbors,False,-0.4,-1.54,18
01_numerical_classification.csv,123,genesis,2,classification,5,3,0.4,classification_logistic_regression|classification_hist_gradient_boosting|classification_svc,37,163,200,0.815,classification_logistic_regression,0.5,f1,0.2,1.42,classification_svc,True,0.0,-10.57,-30
01_numerical_classification.csv,456,genesis,2,classification,5,3,0.4,classification_logistic_regression|classification_hist_gradient_boosting|classification_svc,101,99,200,0.495,classification_hist_gradient_boosting,0.3333,f1,0.3333,6.66,classification_random_forest,False,-0.4,-6.96,25
01_numerical_classification.csv,789,genesis,2,classification,5,3,0.4,classification_logistic_regression|classification_hist_gradient_boosting|classification_svc,48,152,200,0.76,classification_logistic_regression,0.5,f1,0.5,1.89,classification_k_neighbors,False,0.5,-4.38,0
01_numerical_classification.csv,2024,genesis,2,classification,5,3,0.4,classification_logistic_regression|classification_hist_gradient_boosting|classification_svc,36,164,200,0.82,classification_svc,0.7333,f1,0.5,1.15,classification_k_neighbors,False,0.1667,-1.34,-4
01_numerical_classification.csv,42,genesis,2,classification,5,4,0.2,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc,59,141,200,0.705,classification_hist_gradient_boosting,0.3333,f1,0.3333,6.97,classification_k_neighbors,False,-0.4,1.59,10
01_numerical_classification.csv,123,genesis,2,classification,5,4,0.2,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc,53,147,200,0.735,classification_random_forest,0.5,f1,0.5,6.86,classification_svc,True,0.3,-5.13,-14
01_numerical_classification.csv,456,genesis,2,classification,5,4,0.2,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc,93,107,200,0.535,classification_random_forest,0.7333,f1,0.7333,20.64,classification_random_forest,True,0.0,7.02,17
01_numerical_classification.csv,789,genesis,2,classification,5,4,0.2,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc,85,115,200,0.575,classification_random_forest,0.5,f1,0.7333,15.73,classification_k_neighbors,False,0.7333,9.46,37
01_numerical_classification.csv,2024,genesis,2,classification,5,4,0.2,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc,46,154,200,0.77,classification_logistic_regression,0.7333,f1,0.7333,4.56,classification_k_neighbors,False,0.4,2.07,6
01_numerical_classification.csv,42,genesis,2,classification,5,5,0.0,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,49,151,200,0.755,classification_k_neighbors,0.7333,f1,0.7333,3.22,classification_k_neighbors,True,0.0,-2.16,0
01_numerical_classification.csv,123,genesis,2,classification,5,5,0.0,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,67,133,200,0.665,classification_svc,0.5,f1,0.2,10.27,classification_svc,True,0.0,-1.72,0
01_numerical_classification.csv,456,genesis,2,classification,5,5,0.0,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,76,124,200,0.62,classification_random_forest,0.7333,f1,0.7333,13.33,classification_random_forest,True,0.0,-0.29,0
01_numerical_classification.csv,789,genesis,2,classification,5,5,0.0,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,48,152,200,0.76,classification_k_neighbors,0.7333,f1,0.0,6.31,classification_k_neighbors,True,0.0,0.04,0
01_numerical_classification.csv,2024,genesis,2,classification,5,5,0.0,classification_logistic_regression|classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,40,160,200,0.8,classification_k_neighbors,0.7333,f1,0.3333,2.47,classification_k_neighbors,True,0.0,-0.02,0
02_categorical_heavy.csv,42,baseline,10,classification,4,4,0.0,classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,42,158,200,0.79,classification_svc,1.0,f1,1.0,3.99,classification_svc,True,0.0,0.0,0
02_categorical_heavy.csv,123,baseline,10,classification,4,4,0.0,classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,46,154,200,0.77,classification_svc,0.4,f1,0.6667,6.5,classification_svc,True,0.0,0.0,0
02_categorical_heavy.csv,456,baseline,10,classification,4,4,0.0,classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,42,158,200,0.79,classification_svc,1.0,f1,1.0,3.77,classification_svc,True,0.0,0.0,0
02_categorical_heavy.csv,789,baseline,10,classification,4,4,0.0,classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,53,147,200,0.735,classification_svc,1.0,f1,0.6667,5.64,classification_svc,True,0.0,0.0,0
02_categorical_heavy.csv,2024,baseline,10,classification,4,4,0.0,classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,49,151,200,0.755,classification_k_neighbors,1.0,f1,0.6667,9.85,classification_k_neighbors,True,0.0,0.0,0
02_categorical_heavy.csv,42,genesis,2,classification,4,2,0.5,classification_random_forest|classification_hist_gradient_boosting,78,122,200,0.61,classification_random_forest,1.0,f1,0.4,16.55,classification_svc,False,-0.6,12.56,36
02_categorical_heavy.csv,123,genesis,2,classification,4,2,0.5,classification_random_forest|classification_hist_gradient_boosting,86,114,200,0.57,classification_random_forest,0.4,f1,0.25,20.34,classification_svc,False,-0.4167,13.84,40
02_categorical_heavy.csv,456,genesis,2,classification,4,2,0.5,classification_random_forest|classification_hist_gradient_boosting,92,108,200,0.54,classification_random_forest,0.6667,f1,0.25,16.76,classification_svc,False,-0.75,12.99,50
02_categorical_heavy.csv,789,genesis,2,classification,4,2,0.5,classification_random_forest|classification_hist_gradient_boosting,78,122,200,0.61,classification_random_forest,1.0,f1,0.25,17.65,classification_svc,False,-0.4167,12.01,25
02_categorical_heavy.csv,2024,genesis,2,classification,4,2,0.5,classification_random_forest|classification_hist_gradient_boosting,109,91,200,0.455,classification_random_forest,0.4,f1,0.0,33.92,classification_k_neighbors,False,-0.6667,24.07,60
02_categorical_heavy.csv,42,genesis,2,classification,4,3,0.25,classification_random_forest|classification_hist_gradient_boosting|classification_svc,53,147,200,0.735,classification_svc,1.0,f1,1.0,8.23,classification_svc,True,0.0,4.24,11
02_categorical_heavy.csv,123,genesis,2,classification,4,3,0.25,classification_random_forest|classification_hist_gradient_boosting|classification_svc,56,144,200,0.72,classification_svc,0.4,f1,0.25,12.53,classification_svc,True,-0.4167,6.03,10
02_categorical_heavy.csv,456,genesis,2,classification,4,3,0.25,classification_random_forest|classification_hist_gradient_boosting|classification_svc,43,157,200,0.785,classification_svc,1.0,f1,1.0,7.0,classification_svc,True,0.0,3.23,1
02_categorical_heavy.csv,789,genesis,2,classification,4,3,0.25,classification_random_forest|classification_hist_gradient_boosting|classification_svc,48,152,200,0.76,classification_svc,1.0,f1,0.6667,7.39,classification_svc,True,0.0,1.75,-5
02_categorical_heavy.csv,2024,genesis,2,classification,4,3,0.25,classification_random_forest|classification_hist_gradient_boosting|classification_svc,44,156,200,0.78,classification_svc,1.0,f1,0.6667,5.95,classification_k_neighbors,False,0.0,-3.9,-5
02_categorical_heavy.csv,42,genesis,2,classification,4,4,0.0,classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,42,158,200,0.79,classification_svc,1.0,f1,1.0,4.13,classification_svc,True,0.0,0.14,0
02_categorical_heavy.csv,123,genesis,2,classification,4,4,0.0,classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,46,154,200,0.77,classification_svc,0.4,f1,0.6667,6.42,classification_svc,True,0.0,-0.08,0
02_categorical_heavy.csv,456,genesis,2,classification,4,4,0.0,classification_random_forest|classification_hist_gradient_boosting|classification_svc|classification_k_neighbors,42,158,200,0.79,classification_svc,1.0,f1,1.0,4.4,classification_svc,True,0.0,0.63,0
