dataset,method,task_type,metric,mean_score,std_score,best_score,worst_score,mean_evaluations,mean_runtime,success_count,fail_count
01_numerical_classification.csv,method_a_full_genesis,classification,f1,0.58,0.2352,0.7333,0.2,27.4,0.26,5,0
01_numerical_classification.csv,method_b_without_dip,classification,f1,0.42,0.2049,0.7333,0.2,52.8,2.99,5,0
01_numerical_classification.csv,method_c_without_recommendation,classification,f1,0.4,0.3266,0.7333,0.0,56.0,7.79,5,0
01_numerical_classification.csv,method_d_recommendation_only,classification,f1,0.5333,0.2198,0.7333,0.2,2.0,0.06,5,0
01_numerical_classification.csv,method_e_unguided_baseline,classification,f1,0.4933,0.2994,0.7333,0.0,200.0,30.54,5,0
02_categorical_heavy.csv,method_a_full_genesis,classification,f1,0.23,0.144,0.4,0.0,88.6,30.77,5,0
02_categorical_heavy.csv,method_b_without_dip,classification,f1,0.6333,0.3755,1.0,0.25,39.6,3.27,5,0
02_categorical_heavy.csv,method_c_without_recommendation,classification,f1,0.8,0.1826,1.0,0.6667,46.4,7.06,5,0
02_categorical_heavy.csv,method_d_recommendation_only,classification,f1,0.4,0.3354,1.0,0.25,2.0,0.57,5,0
02_categorical_heavy.csv,method_e_unguided_baseline,classification,f1,0.8667,0.1826,1.0,0.6667,200.0,15.41,5,0
03_missing_values.csv,method_a_full_genesis,classification,f1,0.2666,0.1491,0.3333,0.0,56.2,2.95,5,0
03_missing_values.csv,method_b_without_dip,classification,f1,0.2,0.1826,0.3333,0.0,56.2,2.82,5,0
03_missing_values.csv,method_c_without_recommendation,classification,f1,0.2,0.1826,0.3333,0.0,68.8,9.07,5,0
03_missing_values.csv,method_d_recommendation_only,classification,f1,0.3333,0.0,0.3333,0.3333,2.0,0.11,5,0
03_missing_values.csv,method_e_unguided_baseline,classification,f1,0.2,0.1826,0.3333,0.0,200.0,13.52,5,0
04_imbalanced_classification.csv,method_a_full_genesis,classification,f1,1.0,0.0,1.0,1.0,28.0,0.24,5,0
04_imbalanced_classification.csv,method_b_without_dip,classification,f1,1.0,0.0,1.0,1.0,57.6,2.64,5,0
04_imbalanced_classification.csv,method_c_without_recommendation,classification,f1,1.0,0.0,1.0,1.0,58.8,4.47,5,0
04_imbalanced_classification.csv,method_d_recommendation_only,classification,f1,1.0,0.0,1.0,1.0,2.0,0.04,5,0
04_imbalanced_classification.csv,method_e_unguided_baseline,classification,f1,1.0,0.0,1.0,1.0,200.0,12.97,5,0
05_regression.csv,method_a_full_genesis,regression,rmse,8247.3357,1084.9749,7356.685,10131.5098,25.4,0.18,5,0
05_regression.csv,method_b_without_dip,regression,rmse,8247.3357,1084.9749,7356.685,10131.5098,31.2,1.69,5,0
05_regression.csv,method_c_without_recommendation,regression,rmse,8247.3357,1084.9749,7356.685,10131.5098,37.2,2.63,5,0
05_regression.csv,method_d_recommendation_only,regression,rmse,8247.3357,1084.9749,7356.685,10131.5098,2.0,0.03,5,0
05_regression.csv,method_e_unguided_baseline,regression,rmse,8247.3357,1084.9749,7356.685,10131.5098,200.0,10.75,5,0
